studentid;emaildatum;anzahl_emails
31253928;12.08.2020;1
31253052;12.08.2020;1
31257090;19.08.2020;1
31261515;12.08.2020;1
31255512;12.08.2020;1
31226139;19.08.2020;1
31219410;19.08.2020;1
27620070;12.08.2020;2
31236144;19.08.2020;1
31256148;19.08.2020;1
30980685;13.08.2020;1
31232574;13.08.2020;1
31237983;13.08.2020;1
30233013;19.08.2020;1
31240917;20.08.2020;1
31248885;13.08.2020;1
30094062;20.08.2020;1
31237749;20.08.2020;1
31237692;13.08.2020;1
31232007;13.08.2020;1
31246896;13.08.2020;1
31258032;20.08.2020;1
31234806;13.08.2020;1
31204182;20.08.2020;1
31020687;13.08.2020;1
30534333;13.08.2020;1
31265391;20.08.2020;1
31254846;20.08.2020;1
31236837;20.08.2020;1
31239453;13.08.2020;1
31245930;14.08.2020;1
31240899;14.08.2020;1
31061148;14.08.2020;1
31198752;20.08.2020;1
31243242;20.08.2020;1
31256028;14.08.2020;1
31227504;14.08.2020;1
31255728;21.08.2020;1
31233885;21.08.2020;1
31237629;14.08.2020;1
31252461;21.08.2020;1
31237152;15.08.2020;1
31230600;21.08.2020;1
31250337;15.08.2020;1
31239480;21.08.2020;1
31243293;15.08.2020;1
31240551;15.08.2020;1
31253880;15.08.2020;1
31254846;22.08.2020;2
31238028;22.08.2020;1
31257588;22.08.2020;1
27901560;22.08.2020;2
31259886;15.08.2020;1
31234167;16.08.2020;1
31239858;16.08.2020;1
31296561;16.08.2020;1
31240908;22.08.2020;1
31248930;16.08.2020;1
31259073;29.08.2020;1
31234143;29.08.2020;1
31248240;29.08.2020;1
31222371;29.08.2020;1
31230759;29.08.2020;1
31210983;23.08.2020;1
31262175;23.08.2020;1
31248231;23.08.2020;5
30154731;29.08.2020;1
31252143;23.08.2020;4
31250520;23.08.2020;1
31237152;23.08.2020;1
31244445;30.08.2020;5
31255416;23.08.2020;6
31257045;23.08.2020;1
31238028;23.08.2020;1
31198752;23.08.2020;1
31256349;30.08.2020;1
31248495;30.08.2020;1
31245966;24.08.2020;1
31247307;30.08.2020;1
31247847;30.08.2020;2
31238676;30.08.2020;1
31028982;30.08.2020;1
31057152;30.08.2020;1
31235835;30.08.2020;1
31260015;31.08.2020;5
27963621;31.08.2020;1
31237692;31.08.2020;1
31239015;31.08.2020;5
31253934;25.08.2020;1
31256331;25.08.2020;1
31245732;25.08.2020;1
31239243;25.08.2020;1
31226997;01.09.2020;1
31247196;26.08.2020;1
31239444;01.09.2020;1
31242300;26.08.2020;1
31223511;01.09.2020;1
31258542;01.09.2020;6
28129509;01.09.2020;5
31021644;01.09.2020;1
31260813;26.08.2020;15
31235835;01.09.2020;2
31240452;26.08.2020;1
31206384;26.08.2020;1
30496281;01.09.2020;1
31234428;01.09.2020;1
30948342;26.08.2020;1
31452192;01.09.2020;1
31144446;26.08.2020;6
31218564;26.08.2020;1
30951078;26.08.2020;1
31244808;26.08.2020;1
31230246;02.09.2020;5
31240908;02.09.2020;1
31224675;02.09.2020;1
31219161;27.08.2020;1
31231428;27.08.2020;5
31235631;27.08.2020;3
31237794;27.08.2020;1
30839070;02.09.2020;1
31247004;02.09.2020;3
31246563;27.08.2020;1
31241214;02.09.2020;1
31238586;02.09.2020;1
31239243;02.09.2020;6
31162077;27.08.2020;1
30638577;27.08.2020;2
31248075;02.09.2020;5
31253277;27.08.2020;1
31222068;02.09.2020;1
31232346;02.09.2020;1
31247304;02.09.2020;4
31248231;27.08.2020;1
31233222;02.09.2020;1
30806802;27.08.2020;1
31225047;02.09.2020;4
30784770;27.08.2020;1
31254969;02.09.2020;1
31241817;02.09.2020;1
31135764;02.09.2020;6
31238574;03.09.2020;1
31222377;28.08.2020;1
31012128;28.08.2020;1
31240311;03.09.2020;1
31245399;28.08.2020;1
31230225;28.08.2020;12
31233261;03.09.2020;1
31250916;03.09.2020;1
31248705;28.08.2020;1
31243209;28.08.2020;1
31238676;03.09.2020;1
31244121;04.09.2020;2
31233222;04.09.2020;1
31264806;04.09.2020;1
31239588;04.09.2020;1
31227216;04.09.2020;1
31214382;04.09.2020;1
31253262;04.09.2020;1
31242189;25.09.2020;1
31210911;25.09.2020;1
31254072;25.09.2020;1
31239087;25.09.2020;1
31244688;08.09.2020;1
31253961;25.09.2020;1
31240269;25.09.2020;1
31251348;25.09.2020;2
31233222;25.09.2020;1
31239492;08.09.2020;1
31236687;09.09.2020;1
31251135;09.09.2020;4
31246287;26.09.2020;1
31219410;26.09.2020;1
31205766;26.09.2020;1
30638577;09.09.2020;2
31282008;26.09.2020;1
31020732;26.09.2020;2
31239186;09.09.2020;1
31238634;26.09.2020;1
31245990;26.09.2020;1
31253451;09.09.2020;1
31246611;09.09.2020;1
31090536;27.09.2020;1
31252359;27.09.2020;5
31233450;27.09.2020;2
27302823;09.09.2020;1
31241142;09.09.2020;1
31233402;09.09.2020;1
31244121;27.09.2020;2
31227276;04.09.2020;1
31245930;10.09.2020;1
31229049;10.09.2020;1
31232922;10.09.2020;1
31209948;10.09.2020;1
31216293;10.09.2020;1
31258491;04.09.2020;1
31256853;04.09.2020;1
31229658;04.09.2020;1
31223883;10.09.2020;1
31028982;04.09.2020;1
31248042;04.09.2020;1
31253562;05.09.2020;1
31245732;10.09.2020;1
31238556;05.09.2020;1
31227531;05.09.2020;1
31112202;10.09.2020;1
30235875;10.09.2020;1
31145451;05.09.2020;1
31250715;05.09.2020;1
31248870;05.09.2020;1
31241616;11.09.2020;1
31190430;05.09.2020;1
31237542;11.09.2020;1
31238844;11.09.2020;2
30839070;05.09.2020;1
31261752;05.09.2020;12
27716931;11.09.2020;1
31232268;11.09.2020;1
31235757;06.09.2020;1
31243293;06.09.2020;1
31206468;06.09.2020;2
31230339;11.09.2020;1
31248993;06.09.2020;1
31241172;06.09.2020;1
31256040;11.09.2020;1
31219965;06.09.2020;1
30542304;11.09.2020;1
31240707;11.09.2020;1
31239048;11.09.2020;4
30882354;06.09.2020;1
31219161;12.09.2020;1
31223088;06.09.2020;15
31251285;12.09.2020;5
31245573;06.09.2020;1
31218486;12.09.2020;1
31260660;07.09.2020;1
31241046;07.09.2020;2
31155891;07.09.2020;1
31288113;07.09.2020;1
31008384;07.09.2020;1
31241058;12.09.2020;1
31246440;07.09.2020;1
31250733;13.09.2020;4
31260042;13.09.2020;1
31223088;13.09.2020;1
30725295;13.09.2020;1
31239048;14.09.2020;1
31255887;14.09.2020;9
31219923;14.09.2020;2
31241505;15.09.2020;4
31235628;16.10.2020;1
31228086;17.10.2020;1
31237359;15.09.2020;1
31228857;17.10.2020;1
31240269;16.09.2020;2
30854331;16.09.2020;1
31169940;16.09.2020;1
31238625;17.10.2020;1
31242504;17.10.2020;1
31224552;17.10.2020;1
30603078;16.09.2020;2
31246578;16.09.2020;1
31245507;17.10.2020;1
31247889;17.10.2020;4
31236495;16.09.2020;1
31239981;17.10.2020;1
30951078;16.09.2020;1
30144405;18.10.2020;1
31224738;18.10.2020;1
31237401;16.09.2020;6
31235655;18.10.2020;1
31249419;16.09.2020;1
31226652;18.10.2020;1
31249242;17.09.2020;1
31256085;17.09.2020;1
31235676;17.09.2020;1
31246359;17.09.2020;1
31234116;17.09.2020;1
31222461;18.10.2020;1
31227519;18.10.2020;5
31251360;18.10.2020;2
31225158;18.10.2020;1
31240104;17.09.2020;1
31226706;17.09.2020;1
31261230;19.10.2020;1
31235934;17.09.2020;1
31254969;17.09.2020;1
30937833;18.09.2020;1
31232643;18.09.2020;1
31232358;18.09.2020;1
31236465;20.10.2020;3
31166832;20.10.2020;1
27430086;18.09.2020;1
31241553;18.09.2020;2
31228554;18.09.2020;1
31208466;21.10.2020;1
31221882;21.10.2020;1
31219041;18.09.2020;1
30878427;18.09.2020;5
31237923;21.10.2020;2
31228941;21.10.2020;2
31146642;19.09.2020;1
31246569;21.10.2020;1
31146642;21.10.2020;1
31253523;21.10.2020;1
31233486;19.09.2020;1
31245657;19.09.2020;1
31229664;19.09.2020;15
31232028;21.10.2020;1
31016469;19.09.2020;1
30972774;21.10.2020;3
31239186;21.10.2020;1
31256025;19.09.2020;1
30832899;22.10.2020;1
31233327;20.09.2020;2
31228650;22.10.2020;1
31231962;20.09.2020;1
31237923;22.10.2020;1
31229613;20.09.2020;1
31064118;20.09.2020;1
31060944;20.09.2020;1
31225158;22.10.2020;1
31226799;20.09.2020;1
31253454;22.10.2020;1
30744945;20.09.2020;1
31252710;22.10.2020;2
30936000;22.10.2020;2
31227519;22.10.2020;1
31241157;21.09.2020;5
31247766;27.01.2020;1
31255962;26.03.2020;1
31288113;27.01.2020;1
31278567;28.01.2020;1
30989646;28.01.2020;1
31239843;28.01.2020;1
31277382;28.01.2020;1
30574392;28.01.2020;1
31241160;29.01.2020;1
31235976;29.01.2020;1
31244625;29.01.2020;1
31138281;26.03.2020;1
30762387;26.03.2020;1
30884904;29.01.2020;1
31258914;29.01.2020;3
31239186;26.03.2020;1
30412512;29.01.2020;1
30359907;29.01.2020;1
31228800;30.01.2020;1
31139085;26.03.2020;1
31254219;26.03.2020;1
31242642;30.01.2020;1
31173168;30.01.2020;1
30060699;27.03.2020;1
31064523;27.03.2020;1
31222794;27.03.2020;1
31236927;27.03.2020;1
30520275;27.03.2020;1
31248930;27.03.2020;2
31237152;27.03.2020;2
31246968;30.01.2020;1
31238313;30.01.2020;1
31237587;27.03.2020;1
31220715;31.01.2020;1
31241286;27.03.2020;1
31240653;31.01.2020;1
31246170;31.01.2020;1
31251774;27.03.2020;1
31238286;27.03.2020;1
30829062;31.01.2020;1
31237077;27.03.2020;1
31233894;31.01.2020;1
31241523;27.03.2020;1
31240707;31.01.2020;1
31232847;27.03.2020;1
31226799;31.01.2020;1
31044459;01.02.2020;1
31237377;28.03.2020;2
31244031;28.03.2020;1
31040358;28.03.2020;1
31051587;01.02.2020;1
31255563;01.02.2020;2
31246761;01.02.2020;1
31235934;01.02.2020;1
31232448;01.02.2020;1
31228554;01.02.2020;1
31247946;01.02.2020;1
31238196;28.03.2020;1
31261434;28.03.2020;2
31207473;02.02.2020;1
30574173;02.02.2020;1
31230768;28.03.2020;1
28116930;02.02.2020;1
31221708;02.02.2020;1
31261062;02.02.2020;1
31261662;02.02.2020;1
31256127;02.02.2020;1
31221927;29.03.2020;1
30854331;29.03.2020;1
30951078;02.02.2020;1
31229391;29.03.2020;1
31234155;02.02.2020;1
28226742;02.02.2020;1
31145778;29.03.2020;1
31224564;03.02.2020;1
31246926;03.02.2020;1
31235835;03.02.2020;1
31238616;03.02.2020;1
31232811;29.03.2020;1
31220694;29.03.2020;1
31234608;29.03.2020;2
31022094;29.03.2020;2
31237794;29.03.2020;1
31255035;30.03.2020;1
30801651;30.03.2020;1
31259265;30.03.2020;1
31245732;30.03.2020;1
31217511;30.03.2020;1
30612084;31.03.2020;1
31230918;31.03.2020;1
31224552;31.03.2020;1
31236684;31.03.2020;1
31253007;01.04.2020;1
31233708;01.04.2020;3
31258542;01.04.2020;1
31234155;31.03.2020;1
28115094;01.04.2020;1
30993180;01.04.2020;1
31150452;01.04.2020;1
30612084;01.04.2020;1
31221843;01.04.2020;1
31213200;31.03.2020;1
31237608;01.04.2020;2
31257321;01.04.2020;1
31261434;02.04.2020;1
30060699;01.04.2020;1
31225047;01.04.2020;1
31223658;02.04.2020;1
31234176;01.04.2020;1
31231404;02.04.2020;1
30692310;02.04.2020;1
31259985;01.04.2020;1
30936000;01.04.2020;1
27658956;01.04.2020;1
31237386;01.04.2020;1
31242966;01.04.2020;1
31244370;01.04.2020;1
31224585;02.04.2020;1
31249002;01.04.2020;1
31235931;02.04.2020;2
28116498;02.04.2020;1
31233222;02.04.2020;1
30714615;01.04.2020;1
27777426;02.04.2020;2
31243242;02.04.2020;2
31260522;01.04.2020;1
31219821;02.04.2020;1
31257462;02.04.2020;1
31238757;02.04.2020;1
31236519;02.04.2020;1
31244553;02.04.2020;1
31241040;03.04.2020;1
30829062;03.04.2020;1
31233249;07.04.2020;1
31246692;03.04.2020;1
30060699;03.04.2020;1
30339489;08.04.2020;1
31238805;03.04.2020;1
31258017;08.04.2020;1
31240653;08.04.2020;1
31249050;08.04.2020;1
30330705;08.04.2020;1
31221708;08.04.2020;1
31248627;08.04.2020;1
30846741;08.04.2020;1
31235523;04.04.2020;3
27430047;08.04.2020;1
31225464;04.04.2020;1
30714615;04.04.2020;1
31260234;08.04.2020;2
30099957;04.04.2020;1
31251738;04.04.2020;1
31258923;04.04.2020;1
30829062;04.04.2020;1
31242264;04.04.2020;1
31247475;08.04.2020;1
31243263;08.04.2020;1
31229046;08.04.2020;1
31226700;08.04.2020;1
30970935;08.04.2020;1
31255680;08.04.2020;1
31190430;08.04.2020;1
31236306;05.04.2020;2
31252782;05.04.2020;1
31238190;08.04.2020;1
30894378;08.04.2020;1
31244595;05.04.2020;2
31223823;08.04.2020;1
31217265;09.04.2020;1
30983178;05.04.2020;1
31259805;05.04.2020;1
31244520;09.04.2020;1
30404514;05.04.2020;1
31241214;05.04.2020;2
31240761;05.04.2020;1
30227517;05.04.2020;1
31227159;05.04.2020;1
31212867;09.04.2020;2
31252674;05.04.2020;1
31252752;09.04.2020;2
30477822;05.04.2020;1
27996447;09.04.2020;1
31253238;06.04.2020;1
31234428;09.04.2020;1
31248879;09.04.2020;2
31229904;06.04.2020;1
31248300;09.04.2020;1
31111197;09.04.2020;1
31214382;09.04.2020;1
31057152;06.04.2020;1
31245252;09.04.2020;1
30060699;07.04.2020;3
31220256;09.04.2020;1
31262262;07.04.2020;1
31240686;07.04.2020;1
31224711;07.04.2020;1
30936000;07.04.2020;1
31239843;07.04.2020;1
31282008;10.04.2020;1
28116498;07.04.2020;1
31240842;10.04.2020;1
31243203;10.04.2020;1
31232199;10.04.2020;1
31237620;10.04.2020;1
31240761;10.04.2020;2
30611949;10.04.2020;1
30630516;10.04.2020;1
31253772;10.04.2020;1
30413823;12.04.2020;1
30520275;11.04.2020;4
31236645;13.04.2020;2
31044765;11.04.2020;1
31234176;11.04.2020;1
31235445;13.04.2020;1
31249590;13.04.2020;1
30772749;13.04.2020;1
30994389;11.04.2020;2
31235181;13.04.2020;1
31245732;13.04.2020;1
31252338;11.04.2020;1
31051749;11.04.2020;1
31227198;14.04.2020;1
30212961;14.04.2020;1
31247307;14.04.2020;1
31237680;14.04.2020;1
27620070;14.04.2020;2
31241379;12.04.2020;1
31248441;14.04.2020;1
31229541;12.04.2020;3
27963621;12.04.2020;1
31236186;15.04.2020;1
30274344;12.04.2020;2
31230147;15.04.2020;1
31230147;12.04.2020;1
31250673;15.04.2020;1
31277382;12.04.2020;1
31248837;15.04.2020;1
30586278;12.04.2020;1
31244520;12.04.2020;1
31228479;12.04.2020;1
31221606;12.04.2020;1
31248591;15.04.2020;1
31240842;15.04.2020;1
30120123;15.04.2020;1
31242693;12.04.2020;1
31243470;15.04.2020;1
31215126;15.04.2020;3
30515013;15.04.2020;1
31249839;15.04.2020;1
27232848;15.04.2020;1
31245744;15.04.2020;1
31055424;19.04.2020;1
31235367;16.04.2020;1
30060699;19.04.2020;1
31251348;19.04.2020;1
31241538;19.04.2020;1
31227198;19.04.2020;1
31097463;16.04.2020;1
31237152;16.04.2020;1
28011318;16.04.2020;1
31217511;20.04.2020;1
31240521;16.04.2020;1
31238586;20.04.2020;1
31241973;20.04.2020;2
31247751;16.04.2020;2
31241640;20.04.2020;1
31218171;21.04.2020;1
31217835;17.04.2020;1
31258209;21.04.2020;1
31240641;21.04.2020;1
28011084;21.04.2020;2
28011318;21.04.2020;1
30421089;17.04.2020;1
31232643;21.04.2020;1
31242165;17.04.2020;1
30877188;22.04.2020;1
31256907;22.04.2020;1
31259529;22.04.2020;1
31250337;22.04.2020;1
27838899;17.04.2020;1
31232064;22.04.2020;1
31234155;22.04.2020;1
27451404;22.04.2020;1
31258836;22.04.2020;2
31243653;18.04.2020;3
31247928;22.04.2020;1
27838899;22.04.2020;1
31237956;18.04.2020;1
31242303;22.04.2020;1
31237209;22.04.2020;2
31238973;18.04.2020;2
27328659;23.04.2020;1
31233303;23.04.2020;1
30580479;23.04.2020;1
31256565;23.04.2020;1
31248750;18.04.2020;1
30206844;23.04.2020;1
27435384;23.04.2020;1
31240929;19.04.2020;1
30819084;23.04.2020;1
31250937;23.04.2020;1
31237203;23.04.2020;1
31237968;23.04.2020;2
31232358;24.04.2020;1
31233486;24.04.2020;1
31239546;24.04.2020;1
31243944;24.04.2020;1
31229736;25.04.2020;2
31245063;25.04.2020;3
31242159;24.04.2020;2
31234860;24.04.2020;1
31222521;24.04.2020;1
31237422;24.04.2020;3
31262214;26.04.2020;1
31250937;24.04.2020;1
31198752;24.04.2020;1
30060699;25.04.2020;1
31213200;25.04.2020;1
31198989;25.04.2020;1
30939876;25.04.2020;1
28015575;26.04.2020;1
31210371;25.04.2020;1
31257489;25.04.2020;1
31226079;25.04.2020;11
31240089;25.04.2020;1
31248201;26.04.2020;1
31245228;26.04.2020;3
31228425;25.04.2020;2
31283004;26.04.2020;1
28011084;26.04.2020;1
30207663;25.04.2020;1
31226460;26.04.2020;1
31247928;27.04.2020;1
31257612;27.04.2020;1
31232100;27.04.2020;1
31229670;03.05.2020;1
31245063;02.05.2020;2
31251777;02.05.2020;2
31245945;28.04.2020;1
31239684;28.04.2020;1
27620070;28.04.2020;1
31237572;02.05.2020;1
31248669;28.04.2020;1
31237368;02.05.2020;1
30380133;28.04.2020;1
31247235;28.04.2020;2
31241466;03.05.2020;1
31215858;03.05.2020;1
31257258;03.05.2020;1
31230699;03.05.2020;1
31240689;29.04.2020;1
31244808;03.05.2020;1
31232223;03.05.2020;1
31240845;29.04.2020;1
30588495;29.04.2020;1
31221450;03.05.2020;1
31254993;29.04.2020;2
31243242;29.04.2020;1
31210371;29.04.2020;1
30958881;03.05.2020;1
31241616;29.04.2020;1
31238709;29.04.2020;4
31251237;29.04.2020;1
31234695;04.05.2020;1
30515013;04.05.2020;1
31231326;04.05.2020;1
31241007;04.05.2020;1
31135764;04.05.2020;1
31235574;04.05.2020;1
31260594;04.05.2020;1
31228467;05.05.2020;1
31232418;30.04.2020;1
31232232;05.05.2020;1
31258032;05.05.2020;1
31237107;30.04.2020;1
27293442;05.05.2020;3
27976335;05.05.2020;1
31236150;05.05.2020;1
31237284;30.04.2020;2
31237422;30.04.2020;1
30977904;06.05.2020;1
31227039;30.04.2020;1
31255932;06.05.2020;1
30758625;06.05.2020;2
31240929;06.05.2020;1
30227517;30.04.2020;1
31235040;30.04.2020;1
31246563;06.05.2020;1
31225266;06.05.2020;1
31096821;06.05.2020;1
31231326;06.05.2020;1
30404514;06.05.2020;1
31242246;06.05.2020;1
31245990;06.05.2020;2
30568407;06.05.2020;1
31246044;06.05.2020;1
31235883;01.05.2020;3
31241349;06.05.2020;2
31223829;06.05.2020;1
31220256;01.05.2020;1
31227609;01.05.2020;1
31196223;01.05.2020;1
28277559;01.05.2020;1
31240860;01.05.2020;2
31249608;07.05.2020;1
31205766;01.05.2020;1
31258632;01.05.2020;1
31230696;07.05.2020;1
31223511;01.05.2020;1
30893037;02.05.2020;1
31237401;02.05.2020;1
